lg_SLA,lg_Na,SLA,Na,treatment
cm2 g-1,g m-2,cm2 g-1,g m-2,
2.028030081,0.212187604,106.667,1.63,CO2-C
1.885251502,0.196657217,76.7806,1.572741031,CO2-C
2.011743788,0.023549836,102.741,1.055722642,CO2-C
2.638272164,0.271841607,434.7826087,1.87,CO2-C
2.35476151,0.210323872,226.3401032,1.62302,CO2-C
2.47243463,-0.014250195,296.78,0.967720197,CO2-C
2.380211242,-0.15490196,240,0.7,CO2-C
2.477419368,0.111929174,300.206,1.293984797,CO2-C
2.254925208,0.149219113,179.8561151,1.41,CO2-C
2.410327246,-0.163611064,257.2333333,0.686102396,CO2-C
2.190051418,-0.125833145,154.9,0.748457,CO2-C
2.209515015,0.031408464,162,1.075,CO2-C
2.254925208,0.096910013,179.8561151,1.25,CO2-C
2.063521,0.200564612,115.75,1.586955,CO2-C
2.139010501,0.046913779,137.7242769,1.114073333,CO2-C
2.268343914,-0.000525597,185.5,0.9987905,CO2-C
2.222716471,0.188113043,167,1.542101796,CO2-C
2.560265398,0.058805487,363.3,1.145,CO2-C
2.225835028,-0.204809842,168.2035,0.624008,CO2-C
1.996716075,0.178102285,99.2467,1.506961944,CO2-C
2.469674773,-0.007276775,294.9,0.983384198,CO2-C
2.183639904,-0.051860869,152.63,0.887440267,CO2-C
2.397940009,0.269512944,250,1.86,CO2-C
2.036097678,-0.023863824,108.667,0.946533906,CO2-C
2.184975191,0.182340457,153.1,1.52174,CO2-C
2.093771781,-0.03686693,124.1,0.918614021,CO2-C
2.102037697,-0.055517328,126.4846131,0.88,CO2-C
2.307816827,-0.065835983,203.15,0.859338,CO2-C
2.214711421,0.157881184,163.95,1.438405,CO2-C
2.317018101,-0.161682064,207.5,0.689156627,CO2-C
2.398400117,0.195249187,250.265,1.567650291,CO2-C
2.253365801,0.041392685,179.2114695,1.1,CO2-C
2.446280802,0.010253754,279.435,1.023891066,CO2-C
2.201397124,-0.051907004,159,0.887346,CO2-C
2.301029996,0.218690395,200,1.65459,CO2-C
2.361028626,-0.077255344,229.63,0.837037,CO2-C
2.383216752,0.200087628,241.6666667,1.585213011,CO2-C
2.22299898,0.21192424,167.1086691,1.629011837,CO2-C
2.393289591,0.185396637,247.3372857,1.532486429,CO2-C
2.322219295,0.033659222,210,1.080585714,CO2-C
2.186313445,0.324209724,153.5724969,2.109646667,CO2-C
2.230448921,0.373777132,170,2.364705882,CO2-C
2.261143868,-0.043547978,182.45,0.9045905,CO2-C
2.303196057,0.139283712,201,1.378109453,CO2-C
2.162803292,0.200679182,145.48,1.587373705,CO2-C
2.476822937,0.272556214,299.794,1.873079515,CO2-C
1.926342447,-0.087493356,84.4,0.817535545,CO2-C
2.662620616,-0.263413884,459.8546859,0.545238,CO2-C
2.401170695,-0.137549076,251.8666667,0.728535843,CO2-C
1.956341558,0.0004818,90.43604429,1.00111,CO2-C
2.254306332,0.138390621,179.6,1.375278396,CO2-C
2.508664363,-0.194117991,322.6,0.639561052,CO2-C
2.38605999,0.067782551,243.254,1.168913975,CO2-C
1.860892352,0.135878857,72.5926,1.36734736,CO2-C
2.523767271,0.0676068,334.016,1.168441033,CO2-C
2.064457989,0.412236889,116,2.583669087,CO2-C
2.034628457,0.500331206,108.3,3.16469023,CO2-C
2.307496038,0.071882007,203,1.18,CO2-C
2.257678575,-0.093325719,181,0.806629834,CO2-C
2.049148541,0.150449409,111.9820829,1.414,CO2-C
2.252588192,0.05300157,178.8908766,1.1298,CO2-C
2.100179498,0.118793628,125.9445844,1.3146,CO2-C
2.244125144,0.123851641,175.4385965,1.33,CO2-C
1.96730533,0.283070448,92.74816594,1.91898,CO2-C
2.235077015,0.02260156,171.8213058,1.05342,CO2-C
2.463002654,0.055760465,290.4040404,1.137,CO2-C
2.144766969,0.280008953,139.5619306,1.9055,CO2-C
2.329363643,0.23448276,213.4831701,1.715863597,CO2-C
2.248918838,0.271618405,177.3857946,1.86903918,CO2-C
2.148875404,0.228008752,140.888454,1.690475,CO2-C
2.259323854,0.294704722,181.687,1.971082136,CO2-C
2.410620353,-0.036212173,257.407,0.92,CO2-C
2.21285319,0.127789188,163.25,1.342113323,CO2-C
2.164650216,0.13420286,146.1,1.362080767,CO2-C
2.285102524,0.400294328,192.798,2.513589353,CO2-C
2.089905111,0.302791842,123,2.008130081,CO2-C
2.153427636,0.213185808,142.373,1.633750781,CO2-C
2.269512944,-0.04162624,186,0.908602151,CO2-C
2.079777991,0.402875533,120.165,2.528573212,CO2-C
2.057475916,0.156785314,114.15,1.43478,CO2-C
1.964730921,0.396996915,92.2,2.494577007,CO2-C
1.993354576,0.401400541,98.4814822,2.52,CO2-C
2.121669252,0.324735128,132.3333333,2.112200436,CO2-C
2.181843588,0.362092113,152,2.30193,CO2-C
2.203304916,0.251643086,159.7,1.78502,CO2-C
1.966670515,0.321843985,92.61269351,2.098186,CO2-C
2.113288384,0.156851901,129.8040922,1.435,CO2-C
2.533051449,-0.238112251,341.2333333,0.577946647,CO2-C
2.353287115,0.252017931,225.573,1.786561335,CO2-C
2.225154149,0.225094959,167.94,1.679171133,CO2-C
2.23299611,0.024682464,171,1.058479532,CO2-C
2.275311355,0.256029448,188.5,1.80314,CO2-C
2.383532889,-0.116293718,241.8426475,0.765079,CO2-C
2.367355921,0.321063901,233,2.094420601,CO2-C
2.305351369,0.312696727,202,2.054455446,CO2-C
2.512150537,0.180563105,325.2,1.515525,CO2-C
2.374748346,0.017948607,237,1.042194093,CO2-C
2.630411601,0.13805778,426.984,1.374224795,CO2-C
